genes	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
pak2b	3	7.84182102537981e-10	-0.73561256602993	0.264	0.412	1.85960943795857e-05
smndc1	3	7.89437945401627e-10	-0.542649737777233	0.396	0.553	1.87207314372542e-05
ndufb6	3	7.95448030603731e-10	-0.516191068339905	0.402	0.568	1.88632545977369e-05
churc1	3	7.96968405810119e-10	-1.44652908860653	0.059	0.154	1.88993087753812e-05
eif3ea	3	7.98136607886792e-10	-0.324380096658987	0.931	0.97	1.89270115194274e-05
lgi1a	3	8.04883441158596e-10	-1.30511866409133	0.086	0.194	1.90870059236349e-05
ndufa10	3	8.19706030014772e-10	-0.660693317147316	0.222	0.37	1.94385087957703e-05
lsm5	3	8.20374558420873e-10	-0.868563216830783	0.175	0.31	1.94543622783926e-05
eif2b1	3	8.54171175928443e-10	-1.15294033228371	0.123	0.242	2.02558152659671e-05
tmem59	3	8.65253771917223e-10	-0.848530775191767	0.179	0.312	2.0518627947245e-05
gnptg	3	8.70683738164848e-10	-1.29477889989364	0.078	0.183	2.06473941668412e-05
ppil1	3	8.86186594201245e-10	-1.32466436580848	0.09	0.199	2.10150288948883e-05
gtf2a2	3	8.86935131962705e-10	-0.83140817972144	0.153	0.285	2.10327797193636e-05
fosl1a	3	9.11486209465727e-10	0.749065619310664	0.797	0.677	2.16149839712703e-05
trappc2l	3	9.12474070521022e-10	-1.08538124922191	0.113	0.231	2.16384101083355e-05
mrps26	3	9.39810003565623e-10	-1.0812103289442	0.124	0.245	2.22866544245552e-05
sox4b	3	9.59981037425693e-10	-1.58129549076915	0.079	0.183	2.27649903215129e-05
ndufa7	3	9.66621539074542e-10	-0.762877038354794	0.171	0.31	2.29224631776137e-05
aagab	3	9.66914823195754e-10	-1.74263119612599	0.032	0.111	2.29294181172641e-05
rps2	3	9.76217860788494e-10	-0.294011542402752	1	1	2.31500303507384e-05
clpp	3	9.85670909603487e-10	-0.929044320356873	0.126	0.25	2.33741999503371e-05
snapc1b	3	9.90632947107163e-10	-1.61047523755942	0.032	0.111	2.34918697076993e-05
smyd2a	3	9.91858338620772e-10	-1.15313903692432	0.099	0.211	2.3520928642053e-05
cnot9	3	1.0254414916215e-09	-1.03992842647633	0.157	0.285	2.43173195323123e-05
cbx7a	3	1.03285268951116e-09	0.494747948665704	0.762	0.626	2.44930686790677e-05
nfu1	3	1.03747499136535e-09	-1.37191602783244	0.072	0.173	2.46026819452379e-05
cops8	3	1.03774423234217e-09	-0.904332566860119	0.148	0.277	2.46090667257623e-05
stt3b	3	1.03937104695155e-09	-0.840131534219775	0.13	0.256	2.46476450074091e-05
ppp2r5eb	3	1.10414547961629e-09	-0.752166558272793	0.282	0.429	2.61837059036207e-05
akap12b	3	1.10956577688718e-09	0.870603103377965	0.682	0.525	2.63122428331026e-05
rnf7	3	1.11461273803313e-09	-0.665127546409533	0.354	0.499	2.64319264697178e-05
gabarapl2	3	1.12233064331844e-09	-0.706330407087977	0.312	0.461	2.66149488756534e-05
ube2d1a	3	1.12789465778772e-09	-1.1888296268913	0.172	0.305	2.67468939147781e-05
yif1a	3	1.12893929321514e-09	-1.11419918512715	0.13	0.251	2.67716663993038e-05
ftsj1	3	1.13909545940817e-09	-1.76622970807775	0.042	0.127	2.70125097244054e-05
bloc1s1	3	1.14628026145149e-09	-1.04625993422873	0.087	0.196	2.71828901200607e-05
ddx46	3	1.15335066210268e-09	-1.12168939829927	0.126	0.245	2.73505576011029e-05
tada3l	3	1.16441453318677e-09	-1.30325431529746	0.083	0.188	2.7612926239991e-05
srsf2a	3	1.16673281184572e-09	-0.508086849534211	0.646	0.746	2.76679019001094e-05
rab11a	3	1.18455280648488e-09	-0.50351017981355	0.448	0.603	2.80904852529824e-05
si:ch211-194k22.8	3	1.22270906993544e-09	-1.01543680853377	0.186	0.318	2.89953228844491e-05
zgc:158640	3	1.22549169278303e-09	-1.67270456709709	0.039	0.122	2.90613100026569e-05
tdg.1	3	1.26701007746215e-09	-1.26442237045807	0.115	0.229	3.00458769769373e-05
nmt1a	3	1.27144686707921e-09	-0.979085002856468	0.134	0.258	3.01510910059164e-05
PYURF	3	1.2865714056612e-09	-1.15550411129151	0.085	0.192	3.05097543138497e-05
bmi1b	3	1.30052263825355e-09	-1.45896545752007	0.059	0.153	3.08405938435448e-05
gmppab	3	1.33105405200692e-09	-1.90571181652625	0.032	0.11	3.15646157892921e-05
si:ch73-25f10.6	3	1.34028581008136e-09	-1.87400295679891	0.031	0.108	3.17835377002694e-05
tipin	3	1.35508800862165e-09	-1.81250041524258	0.036	0.116	3.21345570364539e-05
elavl1a	3	1.37738449135332e-09	-0.705615554574676	0.302	0.452	3.26632958279525e-05
dpp3	3	1.38552477072063e-09	-1.31349349980229	0.072	0.173	3.2856334412869e-05
tmed10	3	1.40592835800994e-09	-0.545223515733718	0.602	0.706	3.33401850818477e-05
ankrd46b	3	1.42744639544865e-09	-1.51691841649793	0.049	0.138	3.38504638216692e-05
pspc1	3	1.43278452127679e-09	-1.03638208567476	0.107	0.223	3.39770521375578e-05
tsc22d3	3	1.43300096028967e-09	-0.804256421147675	0.541	0.661	3.39821847723092e-05
psmg1	3	1.45327262425786e-09	-1.04768881685549	0.119	0.238	3.44629070116508e-05
rtn1a	3	1.46649606635839e-09	-0.599964624349547	0.382	0.536	3.47764877176229e-05
per2	3	1.49432783298162e-09	0.979441735785705	0.392	0.261	3.54364902313262e-05
cox7a2a	3	1.50014824165657e-09	-0.319630620630515	0.722	0.835	3.55745154026438e-05
nmnat2	3	1.51751275581878e-09	-1.56153519116061	0.041	0.126	3.59862974914865e-05
serinc1	3	1.54111193806926e-09	-0.557154779275902	0.496	0.63	3.65459284993745e-05
gsna	3	1.5480023024469e-09	-1.05271725622015	0.161	0.291	3.67093266002258e-05
myef2	3	1.54813648694187e-09	-0.811063354871757	0.262	0.394	3.67125086513396e-05
ddx42	3	1.56511065590206e-09	-0.931192786935449	0.138	0.261	3.71150340940615e-05
timm23a	3	1.5693316083646e-09	-0.78141657933323	0.202	0.342	3.72151297607581e-05
hddc3	3	1.57777127518089e-09	-1.61847608763406	0.042	0.127	3.74152680196395e-05
drg1	3	1.60998666735693e-09	-1.08258957861033	0.096	0.208	3.81792238297023e-05
dnajb11	3	1.62395630810496e-09	-1.05158515983492	0.21	0.335	3.8510499890401e-05
uck2a	3	1.64267946747972e-09	-0.912322619482974	0.196	0.328	3.89545008918142e-05
ndufa2	3	1.65524366012405e-09	-0.623209053240293	0.325	0.477	3.92524481561817e-05
dnajc8	3	1.67944204249233e-09	-0.654475493396257	0.257	0.409	3.98262885956631e-05
trappc6b	3	1.7150681806194e-09	-1.36269749780306	0.047	0.135	4.06711268352084e-05
dctn2	3	1.74246825042416e-09	-0.83612322750311	0.246	0.383	4.13208920905585e-05
ubtd2	3	1.77117850001583e-09	-1.10943713747525	0.102	0.215	4.20017269493753e-05
sept2	3	1.79681669044221e-09	-0.864186098438704	0.305	0.444	4.26097109971466e-05
med19b	3	1.82190416836188e-09	-1.07447475987844	0.118	0.235	4.32046354485336e-05
yipf4	3	1.83797210298245e-09	-0.754469210002677	0.246	0.386	4.35856704501258e-05
lamtor4	3	1.83931212000969e-09	-0.821803635324284	0.158	0.289	4.36174476139099e-05
nansa	3	1.84689414203989e-09	-1.03274883998755	0.087	0.196	4.37972476843339e-05
tmem199	3	1.88233384001217e-09	-1.24722028038313	0.063	0.159	4.46376646820485e-05
tiprl	3	1.89635617571235e-09	-1.55576934546929	0.06	0.153	4.49701903508428e-05
pcdh19	3	1.90509974908839e-09	-1.17156357014117	0.133	0.254	4.5177535449882e-05
vta1	3	1.90818838584223e-09	-1.10415723129129	0.119	0.237	4.52507793818626e-05
atp5po	3	1.90960779378107e-09	-0.435981923838295	0.754	0.852	4.52844392217243e-05
erh	3	1.99363011562598e-09	-0.372257884364511	0.824	0.886	4.72769445619544e-05
phb	3	2.08658589038466e-09	-0.667630951760823	0.307	0.452	4.94812978045818e-05
vma21	3	2.0955004783602e-09	-0.660497321797534	0.239	0.386	4.96926983438338e-05
zgc:112982	3	2.10167019954321e-09	-0.755456990461455	0.178	0.31	4.98390071119677e-05
